article_timestamp,article_get_timestamp,src_url_id,src_xml_id,lastpublished_timestamp,article_title,img_url,article_url,pages_url,first16kb,author_name
1175985600,1383847541,9529bc1e3262b2869e1daeee91e8e17d,http://www.codeplex.com/tfsconsole/project/projectrss.aspx,1349131080,"NEW POST: Wish-list",,http://www.codeplex.com/tfsconsole/Thread/View.aspx?ThreadId=8959,http://tfsconsole.codeplex.com/project/feeds/rss,"<div>
Please share your thoughts - what would you like to see in this tool?<br></div>","TFS Management Console"
1398962721,1398977706,396e370343770af2b5d722dd70b1d474,http://feeds.feedburner.com/VocusBlog,1412269240,"Cheat Sheet: How to Use Facebook for PR and Marketing",,http://feedproxy.google.com/~r/VocusBlog/~3/yd708Uf3z3s/,http://www.vocus.com/blog,"<p><em>This post is an excerpt from our free &lsquo;<a href=""http://go.vocus.com/social-media-cheat-sheets?cid=70180000000pmfU&amp;source=Blog&amp;utm_source=newsrelease&amp;utm_medium=pr&amp;utm_campaign=socialmediacheatsheets"" target=""_blank"">Social Media Marketing and PR Cheat Sheets</a>&lsquo; guide.</em></p>
<p>Facebook is where people connect with friends,&nbsp;family, and brands. It&rsquo;s also where people share photos, but the number of photos uploaded to Facebook has decreased with the introduction of sites like Instagram and Snapchat.</p>
<div><a href=""http://go.vocus.com/social-media-cheat-sheets?cid=70180000000pmfU&amp;source=Blog&amp;utm_source=newsrelease&amp;utm_medium=pr&amp;utm_campaign=socialmediacheatsheets""><img alt=""Facebook Cheat Sheet"" src=""http://www.vocus.com/blog/wp-content/uploads/2014/04/Facebook-Cheat-Sheet-e1398883650540.jpg"" width=""600"" height=""290""></a><p>Download the Facebook Cheat Sheet and nine others by clicking the image above.</p></div>
<h5>The People:</h5>
<p>Facebook boasts a diverse audience although the largest segment is 18-29 year olds. It&rsquo;s somewhat more appealing to women; <a href=""http://www.pewinternet.org/2013/12/30/demographics-of-key-social-networking-platforms/"" target=""_blank"">Pew Research Center</a> finds 76 percent of women use Facebook versus 66 percent men.</p>
<p>Facebook users include 45 percent of the 65 years old or older demographic, a number that is up from 35 percent in 2012. Some marketers fear that an older audience will cause teenagers to abandon Facebook, but data and research&nbsp;contradicts that concern. Tom Webster of Edison Research suggests growth has stagnated due to&nbsp;reaching a saturation point rather<span>&nbsp;</span>than abandonment. In addition, Facebook has a strong hold on the Internet. Webster calls it the &ldquo;plumbing&rdquo; because many people use Facebook to log into sites with social logins.</p>
<h5>The Challenges:</h5>
<p>Facebook, like other social networks, has introduced native advertising. Brands that use the network to market themselves will have to pay to stay in the social media game.</p>
<h5>The Tips:</h5>
<p><img alt=""Facebook - Social Media Marketing Updates"" src=""http://www.vocus.com/blog/wp-content/uploads/2013/05/Facebook_icon.svg_-e1379104307908.png"" width=""150"" height=""150"">1. Get your community involved. Starbucks posts photos from its Instagram account, but many of those photos aren&rsquo;t original to the company. They&rsquo;re taken by Starbucks brand aficionados.</p>
<p>2. Make your content mobile friendly if you want it to be shared. According to <a href=""http://www.businessinsider.com/a-primer-on-facebook-demographics-2013-10"" target=""_blank"">Business Insider</a>, Facebook is the most popular social media app on smartphones and accounts for 66 percent of total media sharing on iPhones.</p>
<p>3. Optimize your Facebook page for Graph Search. If you want to be found on Facebook, have the correct category and contact information. You want your page to show up if someone searches for a term specific to your business.</p>
<p>4. Invest some time and money in Facebook Ads and Offers. Organic reach has and will continue to decline. Even if you have a strong community, you&rsquo;ll want to pursue paid advertising options.</p>
<p>5. Facebook users like photos; they <a href=""http://www.digitaltrends.com/social-media/according-to-facebook-there-are-350-million-photos-uploaded-on-the-social-network-daily-and-thats-just-crazy/#!CxnKL"" target=""_blank"">upload at least 350 million</a> every day. Take advantage of their affinity. According to Ekaterina Walter, &ldquo;Content with compelling visual content receives 94 percent more total views.&rdquo;<br><em></em></p>
<p>6. For official guidance, visit <a href=""https://www.facebook.com/business/"" target=""_blank"">Facebook for Business</a>.<em><br></em></p>
<p><a href=""http://go.vocus.com/social-media-cheat-sheets?cid=70180000000pmfU&amp;source=Blog&amp;utm_source=newsrelease&amp;utm_medium=pr&amp;utm_campaign=socialmediacheatsheets"" target=""_blank""><span><em><strong>Want cheat sheets for Twitter, LinkedIn and 7 other networks? Get them free now!</strong></em></span></a></p>
<div>
<a href=""http://feeds.feedburner.com/~ff/VocusBlog?a=yd708Uf3z3s:mvqnKN5vKHQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/VocusBlog?d=yIl2AUoC8zA"" border=""0""></a> <a href=""http://feeds.feedburner.com/~ff/VocusBlog?a=yd708Uf3z3s:mvqnKN5vKHQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/VocusBlog?i=yd708Uf3z3s:mvqnKN5vKHQ:V_sGLiPBpWU"" border=""0""></a> <a href=""http://feeds.feedburner.com/~ff/VocusBlog?a=yd708Uf3z3s:mvqnKN5vKHQ:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/VocusBlog?d=qj6IDK7rITs"" border=""0""></a> <a href=""http://feeds.feedburner.com/~ff/VocusBlog?a=yd708Uf3z3s:mvqnKN5vKHQ:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/VocusBlog?i=yd708Uf3z3s:mvqnKN5vKHQ:gIN9vFwOqvQ"" border=""0""></a> <a href=""http://feeds.feedburner.com/~ff/VocusBlog?a=yd708Uf3z3s:mvqnKN5vKHQ:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/VocusBlog?d=7Q72WNTAKBA"" border=""0""></a> <a href=""http://feeds.feedburner.com/~ff/VocusBlog?a=yd708Uf3z3s:mvqnKN5vKHQ:I9og5sOYxJI""><img src=""http://feeds.feedburner.com/~ff/VocusBlog?d=I9og5sOYxJI"" border=""0""></a>
</div>","Vocus Blog"
1399195662,1399280899,641ca3b43d35162c67c7be9a64d3b535,http://www.nymag.com/rss/Art.xml,1410650608,"Justin Davidsons Want-to-Sees",,http://nymag.com/guides/fallpreview/2009/architecture/58447/,http://nymag.com/,"<img src=""http://images.nymag.com/guides/fallpreview/2009/architecture/wanttosee090831_560.jpg"">What our critic is most eager for this fall.","nymag.com: Art"
1398821307,1399019375,488d5832d951d337e55a324a8a743bf5,http://www.millionreasonswhylithuaniaisthebestcountryintheworld.com/lt/rss/,1412287468,#9895,,http://www.millionreasonswhylithuaniaisthebestcountryintheworld.com/lt/9895/,http://www.millionreasonswhylithuaniaisthebestcountryintheworld.com/,"<img src=""http://www.millionreasonswhylithuaniaisthebestcountryintheworld.com/im/lt/2014/04_30/44851.jpg""><br><br>&Scaron;ikau ir tap&scaron;nojau","Milijonas priežasčių kodėl Lietuva yra geriausia šalis pasaulyje"
1392035460,1392145546,018b70d05854d304cb7e690e5cfc244b,http://icecreamtapes.com/feed/,1393195320,"Stiff Lauren Until I Win",,http://icecreamtapes.com/mixtapes/stiff-lauren-until-i-win/,http://icecreamtapes.com/,,Icecreamtapes
1399314508,1399346249,e95a092fa573ad7d60d89a30395a1c2d,http://sobremicadaver.tumblr.com/rss,1412197819,Photo,,http://sobremicadaver.tumblr.com/post/84842983542,http://sobremicadaver.tumblr.com/,"<img src=""http://31.media.tumblr.com/19f29fe9c1cd9cb0192a8b6e97a2aa26/tumblr_n52hocgV2Q1rc2ub3o1_500.jpg""><br><br>","Por encima de mi cadáver"
1398260619,1398260619,05e4f4ac1449bf4e3196149cb374dceb,http://metadata.osa.org/rss/infobase/josab_feed.xml,1412332616,"Initiating self-focusing of beams carrying spatial phase singularities",,http://www.opticsinfobase.org/abstract.cfm?URI=josab-31-5-1159,http://josab.osa.org/,"Lyubomir Stoyanov, Georgi Maleshkov, Ivan Stefanov, Alexander Dreischuh&lt;br/&gt;In this work, we show both experimentally and by numerical simulations that the presence and evolution of a ring dark beam and/or an on-axis optical vortex nested on a bright background beam noticeably perturb the host background. In a photorefractive nonlinear medium (crystal SBN) these ... [J. Opt. Soc. Am. B 31, 1159-1164 (2014)]","Journal of the Optical Society of America B"
1401923828,1401926605,5e682f0d2483d5c17e2e2e0729638888,http://ethnikerotika.tumblr.com/rss,1404525686,"princejames3000:

Sexxxy",,http://ethnikerotika.tumblr.com/post/87839246401,http://ethnikerotika.tumblr.com/,"<img src=""http://37.media.tumblr.com/f79d79a49026b954c38b7314e3f2dda8/tumblr_mo1qdgoPHa1s2hhfjo1_500.jpg""><br><br><p><a href=""http://princejames3000.tumblr.com/post/52415100782/sexxxy"">princejames3000</a>:</p>
<blockquote>
<p>Sexxxy</p>
</blockquote>",ethnikerotika
1311989580,1383833403,a3a5186be916185e047841c855dfb605,http://www.animefushigi.com/anime/baka-to-test-to-shoukanjuu/baka-to-test-to-shoukanjuu-ni/feed,1317438540,"Baka to Test to Shoukanjuu Ni! Episode 4",,http://www.animefushigi.com/watch/baka-to-test-to-shoukanjuu-ni-episode-4,http://www.animefushigi.com/,,"Anime Fushigi » Baka to Test to Shoukanjuu Ni!"
1380584160,1383826368,ff68f480476f8ec9e6e5d796dc4f38dc,http://opanca.blogspot.com/feeds/posts/default,1409578800,"Folha de S. Paulo - Setembro",,http://feedproxy.google.com/~r/TirinhasDoPana-QuadrinhosDeHumor/~3/xaIaEb711PA/folha-de-s-paulo-setembro.html,http://www.teoeominimundo.com.br/,"Ilustra&ccedil;&otilde;es da coluna do empres&aacute;rio <b>Pedro Luiz Passos </b>no caderno <b>Mercad</b>o da <b>Folha de S. Paulo</b>. Edi&ccedil;&otilde;es de 13 e 27 de Setembro. Clique na imagem para ler o artigo.<br><br><br><div>
<a href=""http://www1.folha.uol.com.br/colunas/pedropassos/2013/09/1341344-caminho-para-a-internacionalizacao.shtml"" target=""_blank""><img border=""0"" height=""290"" src=""http://1.bp.blogspot.com/-28u7AWgAKcU/UkoJsjV7mTI/AAAAAAAAUbw/-1FIHfVpRAs/s640/Folha-Mercado-13092013.jpg"" width=""640""></a></div>
<div>
<b><a href=""http://www1.folha.uol.com.br/colunas/pedropassos/2013/09/1341344-caminho-para-a-internacionalizacao.shtml"" target=""_blank"">""Caminho para a internacionaliza&ccedil;&atilde;o""</a></b></div>
<br><br><div>
<a href=""http://www1.folha.uol.com.br/colunas/pedropassos/2013/09/1348230-a-urgencia-da-competicao.shtml"" target=""_blank""><img border=""0"" height=""290"" src=""http://3.bp.blogspot.com/--_NFFQVbrG8/UkoJvhfJWaI/AAAAAAAAUb4/QB0GxkBaFU4/s640/Folha-Mercado-27092013.jpg"" width=""640""></a></div>
<div>
<a href=""http://www1.folha.uol.com.br/colunas/pedropassos/2013/09/1348230-a-urgencia-da-competicao.shtml"" target=""_blank""><b>""A urg&ecirc;ncia da competi&ccedil;&atilde;o""</b></a></div>
<br><img src=""http://feeds.feedburner.com/~r/TirinhasDoPana-QuadrinhosDeHumor/~4/xaIaEb711PA"" height=""1"" width=""1"">","Téo &amp; O Mini Mundo - Tirinhas, Quadrinhos e Ilustrações"
